item_id,name,value
266,Level,Operationeel Niveau
266,Source,Bomenverordening (2014)
267,Theme,12. Groen
267,Area,Nieuw-West
267,Type,Uitgangspunt
267,Level,Operationeel Niveau
267,Source,Bomenstructuurplan Nieuw-West (2002)
268,Theme,12. Groen
268,Area,Nieuw-West
268,Type,Uitgangspunt
268,Level,Operationeel Niveau
268,Source,Bomenstructuurplan Nieuw-West (2002)
269,Theme,12. Groen
269,Area,Nieuw-West
269,Type,Uitgangspunt
269,Level,Operationeel Niveau
269,Source,Bomenstructuurplan Nieuw-West (2002)
270,Theme,12. Groen
270,Area,Nieuw-West
270,Type,Uitgangspunt
270,Level,Operationeel Niveau
270,Source,Bomenstructuurplan Nieuw-West (2002)
271,Theme,12. Groen
271,Area,Nieuw-West
271,Type,Uitgangspunt
271,Level,Operationeel Niveau
271,Source,Bomenstructuurplan Nieuw-West (2002)
272,Theme,12. Groen
272,Area,Nieuw-West
272,Type,Uitgangspunt
272,Level,Operationeel Niveau
272,Source,Bomenstructuurplan Nieuw-West (2002)
273,Theme,12. Groen
273,Area,Noord
273,Type,Ambitie
273,Level,Strategisch Niveau
273,Source,Beleidsvisie Noordhollandsch-Kanaalzone (2003)
274,Theme,3. Netwerken & Profielen
274,Area,Noord
274,Type,Ambitie
274,Level,Tactisch Niveau
274,Source,Beleidsvisie Noordhollandsch-Kanaalzone (2003)
275,Theme,3. Netwerken & Profielen
275,Area,Noord
275,Type,Ambitie
275,Level,Tactisch Niveau
275,Source,Beleidsvisie Noordhollandsch-Kanaalzone (2003)
276,Theme,2. Structuur & Stedenbouwkunde
276,Area,Noord
276,Type,Uitgangspunt
276,Level,Tactisch Niveau
276,Source,Beleidsvisie Noordhollandsch-Kanaalzone (2003)
277,Theme,12. Groen
277,Area,Noord
277,Type,Uitgangspunt
277,Level,Tactisch Niveau
277,Source,Beleidsvisie Noordhollandsch-Kanaalzone (2003)
